Channel,Restricted word or phrase,Category,Suggested handling,False-positive risk,Match type,Why it is included,Channel note,Status
Instagram,like for like,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,l4l,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,free followers,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,buy followers,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,gain followers,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,get verified,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,verification service,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,crypto,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,bitcoin,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,forex,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,investment opportunity,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,guaranteed returns,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,passive income,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,easy money,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,make money fast,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,cash app,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,cashapp,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,venmo me,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,wire transfer,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,gift card,Financial scams,Auto-hide,Low,Phrase/substring,"Common payment, investment, or get-rich-quick scam language.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,account recovery,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,recover your account,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,account suspended,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,copyright violation,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,official support,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,customer support agent,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,verification team,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,meta support,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,instagram support,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,facebook support,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,tiktok support,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,account warning,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,account violation,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,confirm your account,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,verify your identity,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,verify your page,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,appeal here,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,copyright appeal,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,login code,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,security code,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,authentication code,Account & impersonation scams,Auto-hide,Low,Phrase/substring,Common account-takeover or fake-support language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,porn,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,porno,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,nudes,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,nude pics,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,send nudes,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,sex tape,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,xxx,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,nsfw,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,escort,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,hookup,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,sugar daddy,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,sugar baby,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,onlyfans,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,only fans,Sexual or explicit,Auto-hide,Low,Phrase/substring,Explicit or unwanted sexual content.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,kill yourself,Threats & severe harassment,Escalate immediately,Low,Phrase/substring,"Potential threat, self-harm encouragement, or doxxing signal.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,kys,Threats & severe harassment,Escalate immediately,Low,Phrase/substring,"Potential threat, self-harm encouragement, or doxxing signal.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,I know where you live,Threats & severe harassment,Escalate immediately,Low,Phrase/substring,"Potential threat, self-harm encouragement, or doxxing signal.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,dox,Threats & severe harassment,Escalate immediately,Low,Phrase/substring,"Potential threat, self-harm encouragement, or doxxing signal.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,doxx,Threats & severe harassment,Escalate immediately,Low,Phrase/substring,"Potential threat, self-harm encouragement, or doxxing signal.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,expose you,Threats & severe harassment,Escalate immediately,Low,Phrase/substring,"Potential threat, self-harm encouragement, or doxxing signal.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,ruin you,Threats & severe harassment,Escalate immediately,Low,Phrase/substring,"Potential threat, self-harm encouragement, or doxxing signal.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,idiot,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,moron,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,stupid,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,dumb,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,loser,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,pathetic,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,worthless,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,clown,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,trash,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,garbage,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,shut up,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,go away,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,hate you,General harassment,Auto-hide,Medium,Phrase/substring,Direct insult or hostile language; context can still matter.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,fraud,Complaint signals,Review only,High,Phrase/substring,"May be abuse, but may also be a legitimate customer complaint.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,scammer,Complaint signals,Review only,High,Phrase/substring,"May be abuse, but may also be a legitimate customer complaint.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,scam artist,Complaint signals,Review only,High,Phrase/substring,"May be abuse, but may also be a legitimate customer complaint.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,liar,Complaint signals,Review only,High,Phrase/substring,"May be abuse, but may also be a legitimate customer complaint.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,fake,Complaint signals,Review only,High,Phrase/substring,"May be abuse, but may also be a legitimate customer complaint.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,incompetent,Complaint signals,Review only,High,Phrase/substring,"May be abuse, but may also be a legitimate customer complaint.",Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,brand ambassador,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,ambassador opportunity,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,collaboration offer,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,collab opportunity,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,promo offer,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,paid promotion,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,shoutout,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,hire me,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,use my services,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,my agency,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,our agency,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,my business,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,our services,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,book with me,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,contact me instead,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,cheaper service,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,better price,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,website design,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,seo services,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,social media services,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,marketing services,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,lead generation,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,guest post,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,backlinks,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,sponsored post,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,promote it on,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,promote this on,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,feature this on,Solicitation & self-promotion,Review only,High,Phrase/substring,May be spam or a legitimate business inquiry; review before removal.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,home address,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,your address is,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,your phone number,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,personal number,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,social security,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,ssn,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,bank account,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,routing number,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,credit card number,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,private email,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,password,Personal information,Escalate immediately,Medium,Phrase/substring,Potential exposure or request for sensitive personal information.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Facebook,dm me,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,dm us,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,message me,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,message us,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,check your dm,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,check your inbox,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,check my profile,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,visit my profile,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,click my bio,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,link in bio,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,follow for follow,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,follow4follow,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,f4f,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,like for like,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,l4l,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,free followers,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,buy followers,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
Facebook,gain followers,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Use page profanity/keyword moderation where available; preserve genuine complaints for response.,Active
